,petal.length,petal.width
0,1.4,0.2
1,1.4,0.2
2,1.3,0.2
3,1.5,0.2
4,1.4,0.2
5,1.7,0.4
6,1.4,0.3
7,1.5,0.2
8,1.4,0.2
9,1.5,0.1
10,1.5,0.2
11,1.6,0.2
12,1.4,0.1
13,1.1,0.1
14,1.2,0.2
15,1.5,0.4
16,1.3,0.4
17,1.4,0.3
18,1.7,0.3
19,1.5,0.3
20,1.7,0.2
21,1.5,0.4
22,1.0,0.2
23,1.7,0.5
24,1.9,0.2
25,1.6,0.2
26,1.6,0.4
27,1.5,0.2
28,1.4,0.2
29,1.6,0.2
30,1.6,0.2
31,1.5,0.4
32,1.5,0.1
33,1.4,0.2
34,1.5,0.2
35,1.2,0.2
36,1.3,0.2
37,1.4,0.1
38,1.3,0.2
39,1.5,0.2
40,1.3,0.3
41,1.3,0.3
42,1.3,0.2
43,1.6,0.6
44,1.9,0.4
45,1.4,0.3
46,1.6,0.2
47,1.4,0.2
48,1.5,0.2
49,1.4,0.2
50,4.7,1.4
51,4.5,1.5
52,4.9,1.5
53,4.0,1.3
54,4.6,1.5
55,4.5,1.3
56,4.7,1.6
57,3.3,1.0
58,4.6,1.3
59,3.9,1.4
60,3.5,1.0
61,4.2,1.5
62,4.0,1.0
63,4.7,1.4
64,3.6,1.3
65,4.4,1.4
66,4.5,1.5
67,4.1,1.0
68,4.5,1.5
69,3.9,1.1
70,4.8,1.8
71,4.0,1.3
72,4.9,1.5
73,4.7,1.2
74,4.3,1.3
75,4.4,1.4
76,4.8,1.4
77,5.0,1.7
78,4.5,1.5
79,3.5,1.0
80,3.8,1.1
81,3.7,1.0
82,3.9,1.2
83,5.1,1.6
84,4.5,1.5
85,4.5,1.6
86,4.7,1.5
87,4.4,1.3
88,4.1,1.3
89,4.0,1.3
90,4.4,1.2
91,4.6,1.4
92,4.0,1.2
93,3.3,1.0
94,4.2,1.3
95,4.2,1.2
96,4.2,1.3
97,4.3,1.3
98,3.0,1.1
99,4.1,1.3
100,6.0,2.5
101,5.1,1.9
102,5.9,2.1
103,5.6,1.8
104,5.8,2.2
105,6.6,2.1
106,4.5,1.7
107,6.3,1.8
108,5.8,1.8
109,6.1,2.5
110,5.1,2.0
111,5.3,1.9
112,5.5,2.1
113,5.0,2.0
114,5.1,2.4
115,5.3,2.3
116,5.5,1.8
117,6.7,2.2
118,6.9,2.3
119,5.0,1.5
120,5.7,2.3
121,4.9,2.0
122,6.7,2.0
123,4.9,1.8
124,5.7,2.1
125,6.0,1.8
126,4.8,1.8
127,4.9,1.8
128,5.6,2.1
129,5.8,1.6
130,6.1,1.9
131,6.4,2.0
132,5.6,2.2
133,5.1,1.5
134,5.6,1.4
135,6.1,2.3
136,5.6,2.4
137,5.5,1.8
138,4.8,1.8
139,5.4,2.1
140,5.6,2.4
141,5.1,2.3
142,5.1,1.9
143,5.9,2.3
144,5.7,2.5
145,5.2,2.3
146,5.0,1.9
147,5.2,2.0
148,5.4,2.3
149,5.1,1.8
